homeowner_name,phone_number,street_address,city,state,damage_score
"Local Resident",+14055550332,"313 Oak St",Jonathanside,OKLAHOMA,94.6
"Local Resident",+14055550329,"936 Maple Ave",Torresmouth,OKLAHOMA,91.2
"Local Resident",+14055550333,"241 Pine Blvd",Jonathanside,OKLAHOMA,91.2
"Local Resident",+14055550331,"281 Oak St",Jonathanside,OKLAHOMA,82.7
"Edmond Homeowner",+14055551858,"1500 E 2nd St",Edmond,OK,82.4882026970631
"Edmond Homeowner",+14055554269,"2500 Danforth Rd",Edmond,OK,81.9346626318947
"Edmond Homeowner",+14055556986,"3300 S Broadway",Edmond,OK,81.8688599114879
"Edmond Homeowner",+14055554289,"900 W 15th St",Edmond,OK,81.4031700659318
"Edmond Homeowner",+14055551068,"1600 NW 178th St",Edmond,OK,80.2763124380298
"Edmond Homeowner",+14055553719,"600 S Kelly Ave",Edmond,OK,80.1496820015532
"OKC Homeowner",+14055557937,"1513 Village Dr","Oklahoma City",OKLAHOMA,79.472539472548
"Edmond Homeowner",+14055554709,"1600 NW 178th St",Edmond,OK,79.3991762066108
"Edmond Homeowner",+14055558504,"1600 NW 178th St",Edmond,OK,78.8085921064245
"Edmond Homeowner",+14055551453,"1500 E 2nd St",Edmond,OK,78.4025530506048
"Edmond Homeowner",+14055551943,"1600 NW 178th St",Edmond,OK,78.2246732286906
"Edmond Homeowner",+14055552703,"1600 NW 178th St",Edmond,OK,77.9006072316317
"OKC Homeowner",+14055557333,"1669 Pennsylvania Ave","The Village",OKLAHOMA,76.6390271762176
"Edmond Homeowner",+14055559388,"1600 NW 178th St",Edmond,OK,75.6187699634521
"Edmond Homeowner",+14055552175,"1600 NW 178th St",Edmond,OK,74.6270524883685
"Edmond Homeowner",+14055552978,"600 S Kelly Ave",Edmond,OK,74.0980875377885
"Edmond Homeowner",+14055559836,"900 W 15th St",Edmond,OK,72.8614390749584
"Edmond Homeowner",+14055552632,"900 W 15th St",Edmond,OK,71.1158372154015
"Edmond Homeowner",+14055552768,"900 W 15th St",Edmond,OK,68.6424312870661
"Edmond Homeowner",+14055559350,"1500 E 2nd St",Edmond,OK,68.4830734561564
"Edmond Homeowner",+14055555580,"3300 S Broadway",Edmond,OK,66.7151708361642
"Edmond Homeowner",+14055559723,"2100 E Memorial Rd",Edmond,OK,65.8634426402224
"Local Resident",+14055550330,"277 Cedar Ln",Torresmouth,OKLAHOMA,63.2
"Local Resident",+14055550328,"232 Washington Ave",Torresmouth,OKLAHOMA,61.1
"Stephen Brown",+14055553529,"125 E 2nd St",Edmond,OK,58.73
"DEEP SEARCH REQ",+14055553541,"137 E 2nd St",Edmond,OK,57.78
"DEEP SEARCH REQ",+14055553539,"135 E 2nd St",Edmond,OK,57.63
"DEEP SEARCH REQ",+14055553543,"139 E 2nd St",Edmond,OK,57.38
"DEEP SEARCH REQ",+14055553545,"141 E 2nd St",Edmond,OK,57.26
"DEEP SEARCH REQ",+14055553547,"143 E 2nd St",Edmond,OK,56.98
"Alexandra Martinez",+14055553533,"129 E 2nd St",Edmond,OK,56.84
"DEEP SEARCH REQ",+14055553537,"133 E 2nd St",Edmond,OK,56.61
"DEEP SEARCH REQ",+14055553555,"151 E 2nd St",Edmond,OK,55.97
"DEEP SEARCH REQ",+14055553535,"131 E 2nd St",Edmond,OK,55.74
"DEEP SEARCH REQ",+14055553557,"153 E 2nd St",Edmond,OK,55.6
