id,street_address,city,damage_score,magnitude,Homeowner,Phone,Status
8745,219 Indiana Ave,Wichita Falls,82.52,3.0,Elizabeth Moore,+18904153236,OUTREACH READY
8741,215 Indiana Ave,Wichita Falls,82.17,3.0,Deborah Jenkins,+11315464003,OUTREACH READY
8743,217 Indiana Ave,Wichita Falls,81.25,3.0,Sarah Cox,+12691191839,OUTREACH READY
8747,221 Indiana Ave,Wichita Falls,80.63,3.0,Michael Rivera,+15583138475,OUTREACH READY
8739,213 Indiana Ave,Wichita Falls,80.59,3.0,Jesse Mendoza,+16825643646,OUTREACH READY
8751,225 Indiana Ave,Wichita Falls,80.29,3.0,Ana Snyder,+12088129187,OUTREACH READY
8749,223 Indiana Ave,Wichita Falls,80.2,3.0,Samuel Thompson DDS,+14341932610,OUTREACH READY
8755,229 Indiana Ave,Wichita Falls,79.88,3.0,Michael Castaneda,+11229110532,OUTREACH READY
8757,231 Indiana Ave,Wichita Falls,79.78,3.0,Robert Mejia,+10435602215,OUTREACH READY
8761,235 Indiana Ave,Wichita Falls,79.76,3.0,Scott King,+12564094368,OUTREACH READY
8763,237 Indiana Ave,Wichita Falls,79.67,3.0,James Baird,+12025155648,OUTREACH READY
8759,233 Indiana Ave,Wichita Falls,79.66,3.0,Alexander Oconnor,+13124857545,OUTREACH READY
8753,227 Indiana Ave,Wichita Falls,79.54,3.0,Courtney Martin,+19794390694,OUTREACH READY
8767,241 Indiana Ave,Wichita Falls,79.38,3.0,Ashley Cowan,+19056192488,OUTREACH READY
8769,243 Indiana Ave,Wichita Falls,79.03,3.0,Victoria Williams,+15784623813,OUTREACH READY
8765,239 Indiana Ave,Wichita Falls,78.94,3.0,Shelley Cantu,+10530720274,OUTREACH READY
8771,245 Indiana Ave,Wichita Falls,78.85,3.0,Lisa Munoz,+15171008614,OUTREACH READY
8775,249 Indiana Ave,Wichita Falls,78.72,3.0,Brandon Stevenson,+15747367152,OUTREACH READY
8779,253 Indiana Ave,Wichita Falls,78.72,3.0,Dr. Kenneth Murphy II,+12362339006,OUTREACH READY
8785,259 Indiana Ave,Wichita Falls,78.59,3.0,Scott Wang,+19550774559,OUTREACH READY
8777,251 Indiana Ave,Wichita Falls,78.58,3.0,Paul Case,+12546185646,OUTREACH READY
8787,261 Indiana Ave,Wichita Falls,78.56,3.0,Amy Nichols,+16076781574,OUTREACH READY
8783,257 Indiana Ave,Wichita Falls,78.54,3.0,Evan Cruz,+12359450807,OUTREACH READY
8781,255 Indiana Ave,Wichita Falls,78.5,3.0,Jason Spencer,+15195898149,OUTREACH READY
