id,city,street_address,zip_code,phone_number,damage_score,event_date
6975,TEXAS,"",,+18158603019,29.89,2026-04-11
6976,TEXAS,"8648 Stephan's Crossing, Bryan, Texas",,+10960546849,29.89,2026-04-11
6983,TEXAS,"2646 , , Coahuila Port Jon TEXAS",,+12978196183,10.92,2026-03-27
6984,TEXAS,"",,+19029480844,9.35,2026-04-07
6985,TEXAS,"5488 , , Coahuila North Meghan TEXAS",,+16572117489,9.24,2026-04-05
6993,TEXAS,"800 , , Nuevo León North Rebeccatown TEXAS",,+10322418754,6.53,2026-04-05
6994,TEXAS,"",,+12761762691,6.53,2026-04-05
6995,TEXAS,"3193 , , Nuevo León North Rebeccatown TEXAS",,+15421629086,6.53,2026-04-05
7001,TEXAS,"3351 , , Texas Eddieburgh TEXAS",,+17131750339,6.02,2026-04-16
7002,TEXAS,"",,+15773656215,6.02,2026-04-16
7003,TEXAS,"6428 , , Texas Eddieburgh TEXAS",,+13079745240,6.02,2026-04-16
7019,Sherman,"100 N Travis St",75090,+18164333215,6.81,2026-04-25
7020,Sherman,"101 N Travis St",75090,+18027502092,6.12,2026-04-25
7021,Sherman,"102 N Travis St",75090,+16589626636,6.88,2026-04-25
7022,Sherman,"103 N Travis St",75090,+10858811777,6.21,2026-04-25
7023,Sherman,"104 N Travis St",75090,+13692029376,6.85,2026-04-25
7024,Sherman,"105 N Travis St",75090,+16444331080,6.07,2026-04-25
7025,Sherman,"106 N Travis St",75090,+18907930744,6.75,2026-04-25
7026,Sherman,"107 N Travis St",75090,+16792609499,6.5,2026-04-25
7027,Sherman,"108 N Travis St",75090,+10725637640,7.1,2026-04-25
7028,Sherman,"109 N Travis St",75090,+16673433690,6.93,2026-04-25
7029,Sherman,"110 N Travis St",75090,+16572528799,7.48,2026-04-25
7030,Sherman,"111 N Travis St",75090,+18533462563,6.22,2026-04-25
7031,Sherman,"112 N Travis St",75090,+11340742591,6.99,2026-04-25
7032,Sherman,"113 N Travis St",75090,+13016228910,6.42,2026-04-25
7033,Sherman,"114 N Travis St",75090,+10629140130,7.25,2026-04-25
7034,Sherman,"115 N Travis St",75090,+14275981526,6.79,2026-04-25
7035,Sherman,"116 N Travis St",75090,+19530797379,7.1,2026-04-25
7036,Sherman,"117 N Travis St",75090,+12985199843,6.47,2026-04-25
7037,Sherman,"118 N Travis St",75090,+18022069289,7.24,2026-04-25
7038,Sherman,"119 N Travis St",75090,+13293846523,6.84,2026-04-25
7039,Sherman,"120 N Travis St",75090,+16445139415,7.29,2026-04-25
7040,Sherman,"121 N Travis St",75090,+13908374187,6.52,2026-04-25
7041,Sherman,"122 N Travis St",75090,+15836759130,7.29,2026-04-25
7042,Sherman,"123 N Travis St",75090,+18135668291,6.86,2026-04-25
7043,Sherman,"124 N Travis St",75090,+12062461793,7.14,2026-04-25
7044,Sherman,"125 N Travis St",75090,+11776512545,7.68,2026-04-25
7045,Sherman,"126 N Travis St",75090,+10628674485,7.24,2026-04-25
7046,Sherman,"127 N Travis St",75090,+14319415859,7.67,2026-04-25
7047,Sherman,"128 N Travis St",75090,+12580970620,7.36,2026-04-25
7048,Sherman,"129 N Travis St",75090,+15704675262,7.64,2026-04-25
7049,Sherman,"130 N Travis St",75090,+15912547200,7.15,2026-04-25
7050,Sherman,"131 N Travis St",75090,+18405326270,7.61,2026-04-25
7051,Sherman,"132 N Travis St",75090,+17342820916,7.09,2026-04-25
7052,Sherman,"133 N Travis St",75090,+19141060346,7.52,2026-04-25
7053,Sherman,"134 N Travis St",75090,+15278388774,7.13,2026-04-25
7054,Sherman,"135 N Travis St",75090,+18027472645,7.48,2026-04-25
7055,Sherman,"136 N Travis St",75090,+18314758986,7.21,2026-04-25
7056,Sherman,"137 N Travis St",75090,+13419263590,7.55,2026-04-25
7057,Sherman,"138 N Travis St",75090,+14473959933,7.17,2026-04-25
7058,Sherman,"139 N Travis St",75090,+10691596768,7.54,2026-04-25
7059,Sherman,"140 N Travis St",75090,+15792281952,7.47,2026-04-25
7060,Sherman,"141 N Travis St",75090,+16211051123,7.63,2026-04-25
7061,Sherman,"142 N Travis St",75090,+18486157304,7.3,2026-04-25
7062,Sherman,"143 N Travis St",75090,+13155882932,7.65,2026-04-25
7063,Sherman,"144 N Travis St",75090,+14486872881,7.23,2026-04-25
7064,Sherman,"145 N Travis St",75090,+16951748265,7.6,2026-04-25
7065,Sherman,"146 N Travis St",75090,+12398222355,7.24,2026-04-25
7066,Sherman,"147 N Travis St",75090,+12911262413,7.52,2026-04-25
7067,Sherman,"148 N Travis St",75090,+18158731721,7.22,2026-04-25
7068,Sherman,"149 N Travis St",75090,+18606138307,7.43,2026-04-25
7069,Sherman,"150 N Travis St",75090,+13906973015,7.15,2026-04-25
7070,Sherman,"151 N Travis St",75090,+17229500052,7.48,2026-04-25
7071,Sherman,"152 N Travis St",75090,+12331739012,7.08,2026-04-25
7072,Sherman,"153 N Travis St",75090,+11513790673,7.6,2026-04-25
7073,Sherman,"154 N Travis St",75090,+15404341648,7.09,2026-04-25
7074,Sherman,"155 N Travis St",75090,+14906892914,7.65,2026-04-25
7075,Sherman,"156 N Travis St",75090,+10856715513,7.09,2026-04-25
7076,Sherman,"157 N Travis St",75090,+13560847824,7.56,2026-04-25
7077,Sherman,"158 N Travis St",75090,+11369451093,7.15,2026-04-25
7078,Sherman,"159 N Travis St",75090,+16859416946,7.54,2026-04-25
7079,Sherman,"160 N Travis St",75090,+17354335976,7.21,2026-04-25
7080,Sherman,"161 N Travis St",75090,+12983069919,7.57,2026-04-25
